Gene	Symbol
SCGN	SCGN
SLC17A3	SLC17A3
HIST1H1A	H1-1
HIST1H3B	H3C2
HIST1H2BB	H2BC3
HIST1H3C	H3C3
HIST1H1C	H1-2
HIST1H4C	H4C3
HIST1H1E	H1-4
HIST1H3D	H3C4
HIST1H2BG	H2BC8
HIST1H1D	H1-3
HIST1H3F	H3C7
HIST1H2BH	H2BC9
HIST1H3G	H3C8
HIST1H2BI	H2BC10
HIST1H2AH	H2AC12
HIST1H2BL	H2BC13
HIST1H2BM	H2BC14
HIST1H2AL	H2AC16
HIST1H1B	H1-5
HIST1H2AM	H2AC17
UBD	UBD
HCG9	HCG9
TUBB	TUBB
IER3	IER3
HCG20	HCG20
HCG22	HCG22
DDX39B-AS1	DDX39B-AS1
LTA	LTA
TNF	TNF
LTB	LTB
LST1	LST1
NCR3	NCR3
AIF1	AIF1
APOM	APOM
MPIG6B	MPIG6B
DDAH2	DDAH2
LSM2	LSM2
HSPA1A	HSPA1A
HSPA1B	HSPA1B
SLC44A4	SLC44A4
C2	C2
CFB	CFB
AGER	AGER
TSBP1-AS1	TSBP1-AS1
HLA-DRA	HLA-DRA
HLA-DRB5	HLA-DRB5
HLA-DRB1	HLA-DRB1
HLA-DQA1	HLA-DQA1-AS1
HLA-DQB1	HLA-DQB1-AS1
HLA-DQA2	HLA-DQA2
HLA-DQB2	HLA-DQB2
HLA-DMB	HLA-DMB
HLA-DMA	HLA-DMA
HLA-DPA1	HLA-DPA1
HLA-DPB1	HLA-DPB1
COL11A2	COL11A2
KIFC1	KIFC1
HMGA1	HMGA1
Z97832.2	SCUBE3-AS1
MAPK13	MAPK13
PNPLA1	PNPLA1
ETV7	ETV7
CDKN1A	CDKN1A
FGD2	FGD2
CCDC167	CCDC167
MDGA1	MDGA1
KIF6	KIF6
MOCS1	MOCS1
TREML1	TREML1
TREM2	TREM2
FOXP4-AS1	FOXP4-AS1
PGC	PGC
CCND3	CCND3
PTCRA	PTCRA
VEGFA	VEGFA
SLC29A1	SLC29A1
HSP90AB1	HSP90AB1
RUNX2	RUNX2
ENPP5	ENPP5
TDRD6	TDRD6
PLA2G7	PLA2G7
ANKRD66	ANKRD66
MEP1A	MEP1A
TNFRSF21	TNFRSF21
TFAP2B	TFAP2B
IL17A	IL17A
MCM3	MCM3
GCM1	GCM1
GCLC	GCLC
DST	DST
OGFRL1	OGFRL1
KCNQ5-AS1	KCNQ5-AS1
CGAS	CGAS
SLC17A5	SLC17A5
CD109	CD109
LCA5	LCA5
SH3BGRL2	SH3BGRL2
TTK	TTK
ME1	ME1
PRSS35	PRSS35
CYB5R4	CYB5R4
NT5E	NT5E
SYNCRIP	SYNCRIP
UBE2J1	UBE2J1
MMS22L	MMS22L
FAXC	FAXC
YKT6	YKT6
MYO1G	MYO1G
SNHG15	SNHG15
